Sample_ID,Duration,BD,Porosity,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date,alpha1,alpha2,Ks,n1,n2,tau,th_r,th_s,w2,AICc,RMSE_K,RMSE_TH
13B,4,1.54,0.42000000000000004,20 - 25 cm,13,B,CC,ST,20,25,4,40,2017-11-17,0.00981,0.0309,108.7,8.738999999999999,1.118,5.7669999999999995,0,0.374,0.9500000000000001,-1580,0.19140000000000001,0.0039
13T,9,1.1800000000000002,0.55,0 - 5 cm,13,T,CC,ST,0,5,4,40,2017-11-17,3e-4,0.0912,509.2,1.256,1.367,1.556,0.007,0.51,0.623,-1460,0.1905,0.0035
14B,6,1.55,0.42000000000000004,20 - 25 cm,14,B,NO,ST,20,25,4,40,2017-11-17,0.0366,0.011,49.1,1.122,6.199,1.297,0,0.362,0.037,-1689,0.1323,0.004
14T,12,1.2,0.55,0 - 5 cm,14,T,NO,ST,0,5,4,40,2017-11-17,0.09129999999999999,3.1999999999999997e-4,591.1,1.4709999999999999,1.2249999999999999,1.592,0,0.48700000000000004,0.41100000000000003,-1429,0.13820000000000002,0.0035
15B,5,1.45,0.45,20 - 25 cm,15,B,CC,CT,20,25,4,40,2017-11-17,0.14070000000000002,0.0113,1682.6,1.118,5.519,2.103,0,0.364,0.058,-1551,0.1298,0.0039
15T,8,1.26,0.52,0 - 5 cm,15,T,CC,CT,0,5,4,40,2017-11-17,4e-4,0.1708,541.6,1.299,1.391,-0.067,0.021,0.46900000000000003,0.514,-1436,0.1418,0.0032
16B,6,1.45,0.45,20 - 25 cm,16,B,NO,CT,20,25,4,40,2017-11-17,0.00801,0.049100000000000005,281.3,2.8729999999999998,1.131,2.1830000000000003,0,0.384,0.895,-1732,0.0868,0.0031
16T,4,1.4,0.47000000000000003,0 - 5 cm,16,T,NO,CT,0,5,4,40,2017-11-17,4e-5,0.0557,393.6,15,1.155,2.691,0,0.41100000000000003,0.9450000000000001,-1775,0.08420000000000001,0.0014
21B,6,1.3800000000000001,0.48000000000000004,20 - 25 cm,21,B,CC,ST,20,25,6,40,2017-11-17,0.011899999999999999,0.0268,184.5,1.161,2.417,3.641,0.02,0.42700000000000005,0.327,-1302,0.11370000000000001,0.006
21T,13,1.26,0.52,0 - 5 cm,21,T,CC,ST,0,5,6,40,2017-11-17,0.0206,0.057100000000000005,483.8,4.321999999999999,1.177,1.163,0,0.507,0.8700000000000001,-1562,0.1438,0.0024000000000000002
22B,6,1.53,0.42000000000000004,20 - 25 cm,22,B,NO,ST,20,25,6,40,2017-11-17,0.00851,0.0325,57.8,5.4590000000000005,1.1280000000000001,3.0119999999999996,0,0.368,0.915,-1670,0.13340000000000002,0.0048000000000000004
22T,13,1.2,0.55,0 - 5 cm,22,T,NO,ST,0,5,6,40,2017-11-17,0.10540000000000001,0.0191,491.5,1.169,5.162999999999999,0.136,0,0.468,0.068,-1452,0.24190000000000003,0.003
23B,5,1.54,0.42000000000000004,20 - 25 cm,23,B,NO,CT,20,25,6,40,2017-11-17,2.2e-4,0.0422,58.3,1.389,1.1480000000000001,4.406000000000001,0,0.383,0.741,-1864,0.0944,0.0033
23T,6,1.37,0.48000000000000004,0 - 5 cm,23,T,NO,CT,0,5,6,40,2017-11-17,0.07650000000000001,1.8e-4,265.8,1.1640000000000001,1.488,1.2009999999999998,0,0.405,0.24500000000000002,-1621,0.15460000000000002,0.003
24B,5,1.45,0.45,20 - 25 cm,24,B,CC,CT,20,25,6,40,2017-11-17,0.10770000000000002,0.0106,290.7,1.1720000000000002,7.033,0.345,0.041,0.372,0.058,-1510,0.184,0.004
24T,12,1.1500000000000001,0.5700000000000001,0 - 5 cm,24,T,CC,CT,0,5,6,40,2017-11-17,3e-4,0.3121,3297.4,1.4929999999999999,1.1620000000000001,-0.617,0,0.454,0.804,-1228,0.14920000000000003,0.0054
29B,6,1.5,0.43000000000000005,20 - 25 cm,29,B,NO,CT,20,25,8,30,2017-11-17,0.009729999999999999,0.051300000000000005,216.7,6.321999999999999,1.139,3.706,0,0.369,0.921,-1575,0.16290000000000002,0.0039
29T,11,1.1700000000000002,0.56,0 - 5 cm,29,T,NO,CT,0,5,8,30,2017-11-17,0.0968,8.500000000000001e-4,295.6,1.518,1.189,-0.29300000000000004,0,0.47100000000000003,0.354,-1149,0.6111,0.0028
30B,10,1.43,0.46,20 - 25 cm,30,B,CC,CT,20,25,8,30,2017-11-17,0.0104,0.07540000000000001,335.9,8.690999999999999,1.1440000000000001,2.397,0,0.393,0.964,-1599,0.1884,0.003
30T,9,1.1400000000000001,0.5700000000000001,0 - 5 cm,30,T,CC,CT,0,5,8,30,2017-11-17,6.9e-4,0.32999999999999996,3179.1,1.444,1.171,-0.8750000000000001,0,0.48400000000000004,0.743,-1501,0.1421,0.0035
31B,10,1.4,0.47000000000000003,20 - 25 cm,31,B,NO,ST,20,25,8,30,2017-11-17,0.0514,0.035399999999999994,234.8,1.1540000000000001,2.541,1.503,0,0.41700000000000004,0.10200000000000001,-1433,0.168,0.0046
31T,13,1.07,0.6,0 - 5 cm,31,T,NO,ST,0,5,8,30,2017-11-17,0.0192,0.1269,609,3.3659999999999997,1.1820000000000002,-0.42100000000000004,0,0.505,0.8750000000000001,-1341,0.1966,0.0024000000000000002
32B,10,1.3900000000000001,0.48000000000000004,20 - 25 cm,32,B,CC,ST,20,25,8,30,2017-11-17,0.0195,5.8e-4,2.88,2.1270000000000002,1.1960000000000002,-0.886,0,0.42100000000000004,0.527,-1715,0.224,0.0036
32T,9,1.1500000000000001,0.5700000000000001,0 - 5 cm,32,T,CC,ST,0,5,8,30,2017-11-17,0.0162,0.057600000000000005,258.2,5.939000000000001,1.181,0.8,0,0.502,0.902,-1395,0.276,0.0036
5B,4,1.49,0.44,20 - 25 cm,5,B,NO,CT,20,25,2,40,2017-11-18,0.047,1.8e-4,114.2,1.103,4.7330000000000005,4.486000000000001,0,0.42200000000000004,0.191,-1555,0.24730000000000002,0.0027
5T,2,1.21,0.54,0 - 5 cm,5,T,NO,CT,0,5,2,40,2017-11-18,5.200000000000001e-4,0.1701,5336.3,1.507,1.1400000000000001,10,0,0.5,0.6689999999999999,-1530,0.1164,0.0013
5T2,13,1.12,0.58,0 - 5 cm,5,T,NO,CT,0,5,2,40,2018-06-11,9.699999999999999e-4,0.0664,149.2,1.2009999999999998,1.4809999999999999,0.163,0,0.536,0.594,-1497,0.12300000000000001,0.0019
6B,9,1.41,0.47000000000000003,20 - 25 cm,6,B,NO,ST,20,25,2,40,2017-11-18,8e-5,0.0387,51.9,1.23,1.3880000000000001,2.22,0,0.43100000000000005,0.545,-1538,0.12420000000000002,0.0044
6T2,13,1.1,0.58,0 - 5 cm,6,T,NO,ST,0,5,2,40,2018-06-11,0.00181,0.0434,141.2,1.1760000000000002,1.588,1.091,0,0.523,0.584,-1398,0.1111,0.0021
7B,9,1.45,0.45,20 - 25 cm,7,B,CC,ST,20,25,2,40,2017-11-18,0.053700000000000005,0.0129,220.1,1.114,15,2.292,0,0.42200000000000004,0.032,-1719,0.17220000000000002,0.0023
7T,10,1.12,0.58,0 - 5 cm,7,T,CC,ST,0,5,2,40,2017-11-18,0.00573,0.5,3332.1,1.193,1.169,-0.061,0,0.493,0.526,-1400,0.21960000000000002,0.007
8B,4,1.43,0.46,20 - 25 cm,8,B,CC,CT,20,25,2,40,2017-11-18,0.15560000000000002,0.5,844,1.103,1.103,0.233,0,0.40800000000000003,0.28700000000000003,-1462,0.2226,0.005
8T,11,1.11,0.58,0 - 5 cm,8,T,CC,CT,0,5,2,40,2017-11-18,0.16990000000000002,0.00106,839.4,1.781,1.228,1.4009999999999998,0,0.526,0.548,-1301,0.22840000000000002,0.006
